Birthdate,Age,Elevated,Name,Current Title,ProfileLink,ch_id
7 Aug1959,65.7,30 Sep 2023,StephenCardinalChow Sau-yan,"Bishop ofHong Kong [Xianggang],China",https://www.catholic-hierarchy.org/bishop/bchowsy.html,25
16 Jul1948,76.7,14 Feb 2015,Manuel JoséCardinalMacário do Nascimento Clemente,"Patriarch Emeritus ofLisboa {Lisbon},Portugal",https://www.catholic-hierarchy.org/bishop/bmacnc.html,26
20 Sep1965,59.6,30 Sep 2023,JoséCardinalCobo Cano,"Archbishop ofMadrid,Spain",https://www.catholic-hierarchy.org/bishop/bcobcan.html,27
16 Jan1947,78.2,18 Feb 2012,Thomas ChristopherCardinalCollins,"Archbishop Emeritus ofToronto, Ontario,Canada",https://www.catholic-hierarchy.org/bishop/bcollins.html,28
20 Jul1967,57.7,27 Aug 2022,Paulo CezarCardinalCosta,"Archbishop ofBrasília, Distrito Federal,Brazil",https://www.catholic-hierarchy.org/bishop/bcescos.html,29
21 Jul1945,79.7,28 Jun 2018,JosephCardinalCoutts,"Archbishop Emeritus ofKarachi,Pakistan",https://www.catholic-hierarchy.org/bishop/bcoutts.html,30
19 Mar1949,76.1,19 Nov 2016,Blase JosephCardinalCupich,"Archbishop ofChicago, Illinois,USA",https://www.catholic-hierarchy.org/bishop/bcupich.html,31
18 Jul1946,78.7,5 Oct 2019,Michael F.CardinalCzerny,Prefect Emeritus of the Dicastery forPromoting Integral Human Development,https://www.catholic-hierarchy.org/bishop/bczerny.html,32
2 Mar1959,66.1,7 Dec 2024,Pablo Virgilio SiongcoCardinalDavid,"Bishop ofKalookan,Philippines",https://www.catholic-hierarchy.org/bishop/bsiong.html,33
4 Jan1954,71.3,28 Jun 2018,AngeloCardinalDe Donatis,Major Penitentiary of theApostolic Penitentiary,https://www.catholic-hierarchy.org/bishop/bddonatis.html,34
17 Jun1947,77.8,19 Nov 2016,JozefCardinalDe Kesel,"Archbishop Emeritus ofMechelen-Brussel {Malines-Brussels},Belgium",https://www.catholic-hierarchy.org/bishop/bdekesel.html,35
5 May1948,76.9,14 Feb 2015,John AtcherleyCardinalDew,"Archbishop Emeritus ofWellington,New Zealand",https://www.catholic-hierarchy.org/bishop/bdew.html,36
23 May1949,75.9,24 Nov 2007,Daniel NicholasCardinalDiNardo,"Archbishop Emeritus ofGalveston-Houston, Texas,USA",https://www.catholic-hierarchy.org/bishop/bdinardo.html,37
27 Nov1967,57.4,27 Aug 2022,VirgilioCardinaldo Carmo da Silva,"Archbishop ofDíli,Timor-Leste",https://www.catholic-hierarchy.org/bishop/bdcds.html,38
6 Feb1950,75.2,18 Feb 2012,Timothy MichaelCardinalDolan,"Archbishop ofNew York, New York,USA",https://www.catholic-hierarchy.org/bishop/bdolan.html,39
22 Jun1953,71.8,18 Feb 2012,Willem JacobusCardinalEijk,"Archbishop ofUtrecht,Netherlands",https://www.catholic-hierarchy.org/bishop/beijk.html,40
25 Jun1952,72.8,21 Oct 2003,PéterCardinalErdő,"Archbishop ofEsztergom-Budapest,Hungary",https://www.catholic-hierarchy.org/bishop/berdo.html,41
2 Sep1947,77.6,19 Nov 2016,Kevin JosephCardinalFarrell,Chamberlain (Camerlengo) of theApostolic Chamber,https://www.catholic-hierarchy.org/bishop/bfarrellk.html,42
